rank,ticker,company,sector,market_cap,latest_fiscal_year,status
173,ITANZ,"Itanz Technologies Limited","Technology & Communication",4514486210,2026,"ok"
174,TPL,"TPL Corp Limited","Technology & Communication",4487929440,2026,"ok"
175,UDPL,"United Distributors Pakistan Limited","Miscellaneous",4438519500,2026,"ok"
176,GCWL,"Ghani Chemworld Limited","Chemical",4355006170,2026,"basis 2026 9M"
177,MACFL,"MACPAC Films Limited","Paper, Board & Packaging",4291031210,2026,"ok"
178,MFFL,"Mitchells Fruit Farms Limited","Food & Personal Care Products",4208771250,2026,"basis 2025 FY"
179,EXIDE,"Exide Pakistan Limited","Automobile Parts & Accessories",4198938030.0000005,2026,"basis 2026 FY"
180,GTYR,"Ghandhara Tyre & Rubber Company Limited","Automobile Parts & Accessories",3986001210,2026,"basis 2025 FY"
181,FRCL,"Frontier Ceramics Limited","Glass & Ceramics",3964252840,2026,"ok"
182,DINT,"Din Textile Mills Limited","Textile Spinning",3899853530,2026,"basis 2025 FY"
183,FHAM,"First Habib Modaraba","Modarabas",3767128700,2026,"basis 2025 FY"
184,SPWL,"Saif Power Limited","Power Generation & Distribution",3713993800,2026,"ok"
185,SASML,"Sindh Abadgars Sugar Mills Limited","Sugar & Allied Industries",3701604750,2026,"basis 2025 FY"
186,GEMPACRA,"The Pakistan Credit Rating Agency Ltd","Miscellaneous",3651921000,2026,"ok"
187,BAFS,"Baba Farid Sugar Mills Limited","Sugar & Allied Industries",3639667500,2026,"basis 2025 FY"
188,KOSM,"Kohinoor Spinning Mills Limited","Textile Spinning",3615685710,2026,"basis 2025 FY"
189,FTMM,"First Treet Manufacturing Modaraba","Modarabas",3561875890,2026,"ok"
190,PACE,"Pace (Pakistan) Limited","Property",3464267140,2026,"basis 2025 FY"
191,SYM,"Symmetry Group Limited","Technology & Communication",3428651200,2026,"basis 2025 FY"
192,CTM,"Colony Textile Mills Limited","Textile Spinning",3386468000,2026,"basis 2025 FY"
193,KOHTM,"Kohat Textile Mills Limited","Textile Spinning",3384576000,2026,"ok"
194,QUICE,"Quice Food Industries Limited","Food & Personal Care Products",3373302230,2026,"basis 2025 FY"
195,PRET,"Premium Textile Mills Limited","Textile Spinning",3216777850,2026,"ok"
196,FASM,"Faisal Spinning Mills Limited","Textile Composite",3201900000,2026,"basis 2025 FY"
197,CLOV,"Clover Pakistan Limited","Food & Personal Care Products",3192163570,2026,"basis 2025 FY"
198,WAVES,"Waves Corporation Limited","Cable & Electrical Goods",3165818490,2026,"basis 2024 FY"
199,GRR,"Globe Residency REIT","Real Estate Investment Trust",3127600000,2026,"ok"
200,TELE,"Telecard Limited","Technology & Communication",3118736250,2026,"ok"
201,CHAS,"Chashma Sugar Mills Limited","Sugar & Allied Industries",3099309840,2026,"basis 2025 FY"
202,ALTN,"Altern Energy Limited","Power Generation & Distribution",3012420200,2026,"basis 2025 FY"
203,BWHL,"Baluchistan Wheels Limited","Automobile Parts & Accessories",3000072910,2026,"basis 2025 FY"
204,NSRM,"The National Silk & Rayon Mills Limited","Synthetic & Rayon",2966137990,2026,"ok"
205,SCL,"Shield Corporation Limited","Food & Personal Care Products",2925078000,2026,"basis 2025 FY"
206,JSIL,"JS Investments Limited","Inv. Banks / Inv. Cos. / Securities Cos.",2884857760,2026,"ok"
207,BERG,"Berger Paints Pakistan Limited","Chemical",2807235890,2026,"ok"
208,KOHE,"Kohinoor Energy Limited","Power Generation & Distribution",2779121270,2026,"ok"
209,BHAT,"Bhanero Textile Mills Limited","Textile Composite",2762502930,2026,"basis 2025 FY"
210,ECOP,"Ecopack Limited","Miscellaneous",2755555720,2026,"basis 2025 FY"
211,STCL,"Shabbir Tiles & Ceramics Limited","Glass & Ceramics",2701928160,2026,"ok"
212,AATM,"Ali Asghar Textile Mills Limited","Textile Spinning",2665601640,2026,"basis 2025 FY"
213,ALNRS,"Al-Noor Sugar Mills Limited","Sugar & Allied Industries",2657486520,2026,"basis 2025 FY"
214,SSOM,"S.S.Oil Mills Limited","Vanaspati & Allied Industries",2654525190,2026,"ok"
215,WAHN,"Wah Noble Chemicals Limited","Chemical",2620800000,2026,"basis 2025 FY"
216,SHEZ,"Shezan International Limited","Food & Personal Care Products",2473743360,2026,"ok"
217,RPL,"Roshan Packages Limited","Paper, Board & Packaging",2416557000,2026,"ok"
218,IML,"Imperial  Limited","Inv. Banks / Inv. Cos. / Securities Cos.",2410271752,2026,"basis 2025 FY"
219,WAVESAPP,"Waves Home Appliances Limited","Cable & Electrical Goods",2376142670,2026,"ok"
220,BLUEX,"Blue-Ex Limited","Transport",2370931060,2026,"ok"
221,ZIL,"ZIL Limited","Food & Personal Care Products",2344833350,2026,"ok"
222,SUTM,"Sunrays Textile Mills Limited","Textile Spinning",2337237000,2026,"ok"
223,GGGL,"Ghani Global Glass Limited","Glass & Ceramics",2320800000,2026,"ok"
224,UBDL,"United Brands Limited","Miscellaneous",2259198000,2026,"ok"
225,IREIT,"Image Reit","Real Estate Investment Trust",2206868000,2026,"basis 2024 FY"
226,KHTC,"Khyber Tobacco Company Limited","Tobacco",2180545920,2026,"basis 2025 FY"
